,MINSTER_L3_GOLPES_TURNO_ACT_DISP
2026-08-24 10:00:33.933,26752.0
2026-08-24 10:01:33.934,26752.0
2026-08-24 10:02:33.934,26752.0
2026-08-24 10:03:33.934,26752.0
2026-08-24 10:04:33.934,26752.0
2026-08-24 10:05:33.934,26752.0
2026-08-24 10:06:33.934,26752.0
2026-08-24 10:07:33.934,26752.0
2026-08-24 10:08:33.934,26752.0
2026-08-24 10:09:33.934,26752.0
2026-08-24 10:10:33.947,26752.0
2026-08-24 10:11:33.947,26752.0
2026-08-24 10:12:33.948,26752.0
2026-08-24 10:13:33.948,26752.0
2026-08-24 10:14:33.948,26752.0
2026-08-24 10:15:33.948,26752.0
2026-08-24 10:16:33.948,26752.0
2026-08-24 10:17:33.948,26752.0
2026-08-24 10:18:33.948,665.0
2026-08-24 10:19:33.949,665.0
2026-08-24 10:20:33.959,665.0
2026-08-24 10:21:33.959,665.0
2026-08-24 10:22:33.959,665.0
2026-08-24 10:23:33.959,665.0
2026-08-24 10:24:33.959,665.0
2026-08-24 10:25:33.959,665.0
2026-08-24 10:26:33.959,665.0
2026-08-24 10:27:33.959,665.0
2026-08-24 10:28:33.960,665.0
2026-08-24 10:29:33.960,665.0
2026-08-24 10:30:33.973,665.0
2026-08-24 10:31:33.973,665.0
2026-08-24 10:32:33.973,665.0
2026-08-24 10:33:33.973,665.0
2026-08-24 10:34:33.974,665.0
2026-08-24 10:35:33.974,665.0
2026-08-24 10:36:33.974,665.0
2026-08-24 10:37:33.974,665.0
2026-08-24 10:38:33.974,665.0
2026-08-24 10:39:33.974,665.0
2026-08-24 10:40:33.986,665.0
2026-08-24 10:41:33.986,665.0
2026-08-24 10:42:33.986,665.0
2026-08-24 10:43:33.986,665.0
2026-08-24 10:44:33.986,665.0
2026-08-24 10:45:33.986,665.0
2026-08-24 10:46:33.986,665.0
2026-08-24 10:47:33.986,665.0
2026-08-24 10:48:33.987,665.0
2026-08-24 10:49:33.987,665.0
2026-08-24 10:50:33.991,665.0
2026-08-24 10:51:33.991,665.0
2026-08-24 10:52:33.991,665.0
2026-08-24 10:53:33.991,665.0
2026-08-24 10:54:33.991,665.0
2026-08-24 10:55:33.991,665.0
2026-08-24 10:56:33.991,665.0
2026-08-24 10:57:33.991,665.0
2026-08-24 10:58:33.991,665.0
2026-08-24 10:59:33.991,665.0
2026-08-24 11:00:34.011,665.0
2026-08-24 11:01:34.011,665.0
2026-08-24 11:02:34.011,665.0
2026-08-24 11:03:34.011,1067.0
2026-08-24 11:04:34.011,1067.0
2026-08-24 11:05:34.011,1067.0
2026-08-24 11:06:34.011,1067.0
2026-08-24 11:07:34.011,1067.0
2026-08-24 11:08:34.012,1067.0
2026-08-24 11:09:34.012,1067.0
2026-08-24 11:10:34.023,1067.0
2026-08-24 11:11:34.023,1067.0
2026-08-24 11:12:34.023,1067.0
2026-08-24 11:13:34.023,1067.0
2026-08-24 11:14:34.023,1067.0
2026-08-24 11:15:34.023,1067.0
2026-08-24 11:16:34.023,1067.0
2026-08-24 11:17:34.024,2627.0
2026-08-24 11:18:34.024,2627.0
2026-08-24 11:19:34.024,2627.0
2026-08-24 11:20:34.038,2627.0
2026-08-24 11:21:34.038,2627.0
2026-08-24 11:22:34.038,2627.0
2026-08-24 11:23:34.038,2627.0
2026-08-24 11:24:34.039,2627.0
2026-08-24 11:25:34.039,2627.0
2026-08-24 11:26:34.039,2627.0
2026-08-24 11:27:34.039,2627.0
2026-08-24 11:28:34.039,2627.0
2026-08-24 11:29:34.039,2627.0
2026-08-24 11:30:34.051,2627.0
2026-08-24 11:31:34.052,2627.0
2026-08-24 11:32:34.052,4098.0
2026-08-24 11:33:34.052,4098.0
2026-08-24 11:34:34.052,4098.0
2026-08-24 11:35:34.052,4098.0
2026-08-24 11:36:34.052,4098.0
2026-08-24 11:37:34.052,4098.0
2026-08-24 11:38:34.052,4098.0
2026-08-24 11:39:34.052,4098.0
2026-08-24 11:40:34.066,4098.0
2026-08-24 11:41:34.066,4098.0
2026-08-24 11:42:34.066,4098.0
2026-08-24 11:43:34.066,4098.0
2026-08-24 11:44:34.066,4098.0
2026-08-24 11:45:34.066,4098.0
2026-08-24 11:46:34.066,4098.0
2026-08-24 11:47:34.066,5987.0
2026-08-24 11:48:34.066,5987.0
2026-08-24 11:49:34.067,5987.0
2026-08-24 11:50:34.078,5987.0
2026-08-24 11:51:34.078,5987.0
