,PRINTER_L1_LAT_SOP_ACT_DISP
2026-07-22 01:18:56.637,8891.0
2026-07-22 01:19:56.648,9017.0
2026-07-22 01:20:56.654,9176.0
2026-07-22 01:21:56.660,9344.0
2026-07-22 01:22:56.666,9509.0
2026-07-22 01:23:56.679,9651.0
2026-07-22 01:24:56.691,9765.0
2026-07-22 01:25:56.695,9922.0
2026-07-22 01:26:56.705,10056.0
2026-07-22 01:27:56.708,10184.0
2026-07-22 01:28:56.718,10348.0
2026-07-22 01:29:56.726,10486.0
2026-07-22 01:30:56.741,10617.0
2026-07-22 01:31:56.755,10762.0
2026-07-22 01:32:56.765,10915.0
2026-07-22 01:33:56.770,11046.0
2026-07-22 01:34:56.777,11222.0
2026-07-22 01:35:56.780,11351.0
2026-07-22 01:36:56.793,11502.0
2026-07-22 01:37:56.804,11653.0
2026-07-22 01:38:56.807,11809.0
2026-07-22 01:39:56.815,11974.0
2026-07-22 01:40:56.829,12116.0
2026-07-22 01:41:56.836,12256.0
2026-07-22 01:42:56.845,12405.0
2026-07-22 01:43:56.848,12534.0
2026-07-22 01:44:56.851,12658.0
2026-07-22 01:45:56.861,12811.0
2026-07-22 01:46:56.873,12971.0
2026-07-22 01:47:56.888,13143.0
2026-07-22 01:48:56.903,13239.0
2026-07-22 01:49:56.907,13437.0
2026-07-22 01:50:56.919,13577.0
2026-07-22 01:51:56.921,13716.0
2026-07-22 01:52:56.923,13863.0
2026-07-22 01:53:56.928,13995.0
2026-07-22 01:54:56.943,14169.0
2026-07-22 01:55:56.947,14305.0
2026-07-22 01:56:56.948,14475.0
2026-07-22 01:57:56.960,14592.0
2026-07-22 01:58:56.977,14732.0
2026-07-22 01:59:56.978,14885.0
2026-07-22 02:00:56.981,15035.0
2026-07-22 02:01:56.984,15179.0
2026-07-22 02:02:56.994,15350.0
2026-07-22 02:03:56.995,15516.0
2026-07-22 02:04:57.009,15658.0
2026-07-22 02:05:57.024,15795.0
2026-07-22 02:06:57.037,15953.0
2026-07-22 02:07:57.040,16086.0
2026-07-22 02:08:57.051,16263.0
2026-07-22 02:09:57.065,16407.0
2026-07-22 02:10:57.073,16572.0
2026-07-22 02:11:57.084,16726.0
2026-07-22 02:12:57.086,16868.0
2026-07-22 02:13:57.087,17034.0
2026-07-22 02:14:57.093,17170.0
2026-07-22 02:15:57.099,17351.0
2026-07-22 02:16:57.109,17499.0
2026-07-22 02:17:57.120,17669.0
2026-07-22 02:18:57.133,17827.0
2026-07-22 02:19:57.146,17959.0
2026-07-22 02:21:50.089,162.0
2026-07-22 02:22:50.104,298.0
2026-07-22 02:23:50.117,439.0
2026-07-22 02:24:50.118,587.0
2026-07-22 02:25:50.123,746.0
2026-07-22 02:26:50.142,882.0
2026-07-22 02:27:50.152,1042.0
2026-07-22 02:28:50.191,1181.0
2026-07-22 02:29:50.198,1327.0
2026-07-22 02:30:50.211,1485.0
2026-07-22 02:31:50.222,1598.0
2026-07-22 02:32:50.223,1734.0
2026-07-22 02:33:50.231,1896.0
2026-07-22 02:34:50.234,2032.0
2026-07-22 02:35:50.249,2160.0
2026-07-22 02:36:50.254,2291.0
2026-07-22 02:37:50.258,2432.0
2026-07-22 02:38:50.263,2545.0
2026-07-22 02:39:50.275,2704.0
2026-07-22 02:40:50.276,2846.0
2026-07-22 02:41:50.289,2989.0
2026-07-22 02:42:50.292,3154.0
2026-07-22 02:43:50.297,3301.0
2026-07-22 02:44:50.305,3432.0
2026-07-22 02:45:50.311,3603.0
2026-07-22 02:46:50.326,3806.0
2026-07-22 02:47:50.334,3940.0
2026-07-22 02:48:50.341,4069.0
2026-07-22 02:49:50.356,4199.0
2026-07-22 02:50:50.367,4364.0
2026-07-22 02:51:50.377,4521.0
2026-07-22 02:52:50.392,4684.0
2026-07-22 02:53:50.399,4851.0
2026-07-22 02:54:50.414,4964.0
2026-07-22 02:55:50.425,5114.0
2026-07-22 02:56:50.440,5285.0
2026-07-22 02:57:50.455,5400.0
2026-07-22 02:58:50.469,5542.0
2026-07-22 02:59:50.475,5688.0
2026-07-22 03:00:50.487,5837.0
2026-07-22 03:01:50.502,5997.0
2026-07-22 03:02:50.514,6154.0
2026-07-22 03:03:50.515,6303.0
2026-07-22 03:04:50.523,6486.0
2026-08-18 21:56:42.651,4673.0
2026-08-18 21:57:42.651,4673.0
2026-08-18 21:57:42.652,4673.0
2026-08-18 21:58:42.651,4673.0
2026-08-18 21:58:42.652,4673.0
2026-08-18 21:59:42.652,4673.0
2026-08-18 22:00:42.664,4673.0
2026-08-18 22:01:42.664,4673.0
2026-08-18 22:01:42.665,4673.0
2026-08-18 22:02:42.664,4673.0
2026-08-18 22:02:42.665,4673.0
2026-08-18 22:03:42.665,4673.0
2026-08-18 22:04:42.665,4673.0
2026-08-18 22:05:42.665,4673.0
2026-08-18 22:06:42.665,0.0
2026-08-18 22:07:42.665,0.0
2026-08-18 22:08:42.665,0.0
2026-08-18 22:09:42.665,0.0
2026-08-18 22:10:42.679,0.0
2026-08-18 22:11:42.679,0.0
2026-08-18 22:12:42.679,0.0
2026-08-18 22:13:42.679,0.0
2026-08-18 22:14:42.679,0.0
2026-08-18 22:15:42.679,0.0
2026-08-18 22:16:42.679,0.0
2026-08-18 22:17:42.679,0.0
2026-08-18 22:18:42.679,0.0
2026-08-18 22:18:42.680,0.0
2026-08-18 22:19:42.680,0.0
2026-08-18 22:20:42.683,0.0
2026-08-18 22:21:42.683,230.0
2026-08-18 22:22:42.683,230.0
2026-08-18 22:22:42.684,230.0
2026-08-18 22:23:42.684,230.0
2026-08-18 22:24:42.684,230.0
2026-08-18 22:25:42.684,230.0
2026-08-18 22:26:42.684,230.0
2026-08-18 22:27:42.684,230.0
2026-08-18 22:28:42.684,230.0
2026-08-18 22:29:42.684,230.0
2026-08-18 22:30:42.703,230.0
2026-08-18 22:31:42.703,230.0
2026-08-18 22:32:42.703,230.0
2026-08-18 22:33:42.703,230.0
2026-08-18 22:34:42.703,230.0
2026-08-18 22:35:42.703,230.0
2026-08-18 22:35:42.704,230.0
2026-08-18 22:36:42.703,462.0
2026-08-18 22:36:42.704,462.0
2026-08-18 22:37:42.703,462.0
2026-08-18 22:37:42.704,462.0
2026-08-18 22:38:42.703,462.0
2026-08-18 22:38:42.704,462.0
2026-08-18 22:39:42.703,462.0
2026-08-18 22:39:42.704,462.0
2026-08-18 22:40:42.717,462.0
2026-08-18 22:41:42.717,462.0
2026-08-18 22:42:42.717,462.0
2026-08-18 22:43:42.717,462.0
2026-08-18 22:44:42.717,462.0
2026-08-18 22:44:42.718,462.0
2026-08-18 22:45:42.717,462.0
2026-08-18 22:45:42.718,462.0
2026-08-18 22:46:42.717,462.0
2026-08-18 22:46:42.718,462.0
2026-08-18 22:47:42.717,462.0
2026-08-18 22:47:42.718,462.0
2026-08-18 22:48:42.717,462.0
2026-08-18 22:48:42.718,462.0
2026-08-18 22:49:42.717,462.0
2026-08-18 22:49:42.718,462.0
2026-08-18 22:50:42.727,507.0
2026-08-18 22:51:42.727,507.0
2026-08-18 22:52:42.727,507.0
2026-08-18 22:52:42.728,507.0
2026-08-18 22:53:42.727,507.0
2026-08-18 22:53:42.728,507.0
2026-08-18 22:54:42.727,507.0
2026-08-18 22:54:42.728,507.0
2026-08-18 22:55:42.727,507.0
2026-08-18 22:55:42.728,507.0
2026-08-18 22:56:42.727,507.0
2026-08-18 22:56:42.728,507.0
2026-08-18 22:57:42.727,507.0
2026-08-18 22:57:42.728,507.0
2026-08-18 22:58:42.727,507.0
2026-08-18 22:58:42.728,507.0
2026-08-18 22:59:42.727,507.0
2026-08-18 22:59:42.728,507.0
2026-08-18 23:00:42.741,507.0
2026-08-18 23:00:42.742,507.0
2026-08-18 23:01:42.741,507.0
2026-08-18 23:01:42.742,507.0
2026-08-18 23:02:42.741,507.0
2026-08-18 23:02:42.742,507.0
2026-08-18 23:03:42.741,507.0
2026-08-18 23:03:42.742,507.0
2026-08-18 23:04:42.741,507.0
2026-08-18 23:04:42.742,507.0
2026-08-18 23:05:42.741,677.0
2026-08-18 23:05:42.742,677.0
2026-08-18 23:06:42.741,677.0
2026-08-18 23:06:42.742,677.0
2026-08-18 23:07:42.742,677.0
2026-08-18 23:08:42.742,677.0
2026-08-18 23:09:42.742,677.0
2026-08-18 23:10:42.754,677.0
2026-08-18 23:11:42.754,677.0
2026-08-18 23:12:42.754,677.0
2026-08-18 23:13:42.754,677.0
2026-08-18 23:14:42.754,677.0
2026-08-18 23:15:42.754,677.0
2026-08-18 23:16:42.754,677.0
2026-08-18 23:16:42.755,677.0
2026-08-18 23:17:42.754,677.0
2026-08-18 23:17:42.755,677.0
2026-08-18 23:18:42.754,677.0
2026-08-18 23:18:42.755,677.0
2026-08-18 23:19:42.754,677.0
2026-08-18 23:19:42.755,677.0
2026-08-18 23:20:42.766,756.0
2026-08-18 23:20:42.767,756.0
2026-08-18 23:21:42.766,756.0
2026-08-18 23:21:42.767,756.0
2026-08-18 23:22:42.766,756.0
2026-08-18 23:22:42.767,756.0
2026-08-18 23:23:42.766,756.0
2026-08-18 23:23:42.767,756.0
2026-08-18 23:24:42.767,756.0
2026-08-18 23:25:42.767,756.0
2026-08-18 23:26:42.767,756.0
2026-08-18 23:27:42.767,756.0
2026-08-18 23:28:42.767,756.0
2026-08-18 23:29:42.767,756.0
2026-08-18 23:29:42.768,756.0
2026-08-18 23:30:42.780,756.0
2026-08-18 23:31:42.780,756.0
2026-08-18 23:32:42.780,756.0
2026-08-18 23:32:42.781,756.0
2026-08-18 23:33:42.780,756.0
2026-08-18 23:33:42.781,756.0
2026-08-18 23:34:42.780,756.0
2026-08-18 23:34:42.781,756.0
2026-08-18 23:35:42.780,822.0
2026-08-18 23:35:42.781,822.0
2026-08-18 23:36:42.780,822.0
2026-08-18 23:36:42.781,822.0
2026-08-18 23:37:42.780,822.0
2026-08-18 23:37:42.781,822.0
2026-08-18 23:38:42.780,822.0
2026-08-18 23:38:42.781,822.0
2026-08-18 23:39:42.780,822.0
2026-08-18 23:39:42.781,822.0
