,PRINTER_L1_PROD_ACT_DISP
2026-07-22 01:18:56.637,8745.0
2026-07-22 01:19:56.648,8884.0
2026-07-22 01:20:56.654,9030.0
2026-07-22 01:21:56.660,9202.0
2026-07-22 01:22:56.666,9308.0
2026-07-22 01:23:56.679,9451.0
2026-07-22 01:24:56.691,9572.0
2026-07-22 01:25:56.695,9707.0
2026-07-22 01:26:56.705,9840.0
2026-07-22 01:27:56.708,9989.0
2026-07-22 01:28:56.718,10142.0
2026-07-22 01:29:56.726,10318.0
2026-07-22 01:30:56.741,10458.0
2026-07-22 01:31:56.755,10620.0
2026-07-22 01:32:56.765,10777.0
2026-07-22 01:33:56.770,10971.0
2026-07-22 01:34:56.777,11141.0
2026-07-22 01:35:56.780,11279.0
2026-07-22 01:36:56.793,11417.0
2026-07-22 01:37:56.804,11556.0
2026-07-22 01:38:56.807,11711.0
2026-07-22 01:39:56.815,11872.0
2026-07-22 01:40:56.829,12014.0
2026-07-22 01:41:56.836,12172.0
2026-07-22 01:42:56.845,12315.0
2026-07-22 01:43:56.848,12442.0
2026-07-22 01:44:56.851,12567.0
2026-07-22 01:45:56.861,12724.0
2026-07-22 01:46:56.873,12853.0
2026-07-22 01:47:56.888,12988.0
2026-07-22 01:48:56.903,13101.0
2026-07-22 01:49:56.907,13248.0
2026-07-22 01:50:56.919,13400.0
2026-07-22 01:51:56.921,13527.0
2026-07-22 01:52:56.923,13673.0
2026-07-22 01:53:56.928,13815.0
2026-07-22 01:54:56.943,13973.0
2026-07-22 01:55:56.947,14108.0
2026-07-22 01:56:56.948,14238.0
2026-07-22 01:57:56.960,14415.0
2026-07-22 01:58:56.977,14589.0
2026-07-22 01:59:56.978,14724.0
2026-07-22 02:00:56.981,14872.0
2026-07-22 02:01:56.984,15015.0
2026-07-22 02:02:56.994,15153.0
2026-07-22 02:03:56.995,15303.0
2026-07-22 02:04:57.009,15454.0
2026-07-22 02:05:57.024,15643.0
2026-07-22 02:06:57.037,15778.0
2026-07-22 02:07:57.040,15912.0
2026-07-22 02:08:57.051,16109.0
2026-07-22 02:09:57.065,16267.0
2026-07-22 02:10:57.073,16423.0
2026-07-22 02:11:57.084,16557.0
2026-07-22 02:12:57.086,16694.0
2026-07-22 02:13:57.087,16828.0
2026-07-22 02:14:57.093,17012.0
2026-07-22 02:15:57.099,17143.0
2026-07-22 02:16:57.109,17277.0
2026-07-22 02:17:57.120,17457.0
2026-07-22 02:18:57.133,17611.0
2026-07-22 02:19:57.146,17763.0
2026-07-22 02:21:50.089,146.0
2026-07-22 02:22:50.104,306.0
2026-07-22 02:23:50.117,449.0
2026-07-22 02:24:50.118,610.0
2026-07-22 02:25:50.123,723.0
2026-07-22 02:26:50.142,848.0
2026-07-22 02:27:50.152,1014.0
2026-07-22 02:28:50.191,1132.0
2026-07-22 02:29:50.198,1261.0
2026-07-22 02:30:50.211,1412.0
2026-07-22 02:31:50.222,1577.0
2026-07-22 02:32:50.223,1706.0
2026-07-22 02:33:50.231,1839.0
2026-07-22 02:34:50.234,1941.0
2026-07-22 02:35:50.249,2102.0
2026-07-22 02:36:50.254,2269.0
2026-07-22 02:37:50.258,2388.0
2026-07-22 02:38:50.263,2547.0
2026-07-22 02:39:50.275,2669.0
2026-07-22 02:40:50.276,2812.0
2026-07-22 02:41:50.289,2974.0
2026-07-22 02:42:50.292,3141.0
2026-07-22 02:43:50.297,3310.0
2026-07-22 02:44:50.305,3465.0
2026-07-22 02:45:50.311,3602.0
2026-07-22 02:46:50.326,3742.0
2026-07-22 02:47:50.334,3896.0
2026-07-22 02:48:50.341,4021.0
2026-07-22 02:49:50.356,4169.0
2026-07-22 02:50:50.367,4288.0
2026-07-22 02:51:50.377,4465.0
2026-07-22 02:52:50.392,4610.0
2026-07-22 02:53:50.399,4771.0
2026-07-22 02:54:50.414,4902.0
2026-07-22 02:55:50.425,5065.0
2026-07-22 02:56:50.440,5217.0
2026-07-22 02:57:50.455,5329.0
2026-07-22 02:58:50.469,5484.0
2026-07-22 02:59:50.475,5643.0
2026-07-22 03:00:50.487,5780.0
2026-07-22 03:01:50.502,5929.0
2026-07-22 03:02:50.514,6092.0
2026-07-22 03:03:50.515,6277.0
2026-07-22 03:04:50.523,6420.0
2026-08-18 21:56:42.651,167322.0
2026-08-18 21:57:42.651,167322.0
2026-08-18 21:57:42.652,167322.0
2026-08-18 21:58:42.651,167322.0
2026-08-18 21:58:42.652,167322.0
2026-08-18 21:59:42.652,167322.0
2026-08-18 22:00:42.664,167322.0
2026-08-18 22:01:42.664,167322.0
2026-08-18 22:01:42.665,167322.0
2026-08-18 22:02:42.664,167322.0
2026-08-18 22:02:42.665,167322.0
2026-08-18 22:03:42.665,167322.0
2026-08-18 22:04:42.665,167322.0
2026-08-18 22:05:42.665,322.0
2026-08-18 22:06:42.665,281.0
2026-08-18 22:07:42.665,281.0
2026-08-18 22:08:42.665,281.0
2026-08-18 22:09:42.665,281.0
2026-08-18 22:10:42.679,281.0
2026-08-18 22:11:42.679,281.0
2026-08-18 22:12:42.679,281.0
2026-08-18 22:13:42.679,281.0
2026-08-18 22:14:42.679,281.0
2026-08-18 22:15:42.679,281.0
2026-08-18 22:16:42.679,281.0
2026-08-18 22:17:42.679,281.0
2026-08-18 22:18:42.679,281.0
2026-08-18 22:18:42.680,281.0
2026-08-18 22:19:42.680,281.0
2026-08-18 22:20:42.683,4372.0
2026-08-18 22:21:42.683,4372.0
2026-08-18 22:22:42.683,4372.0
2026-08-18 22:22:42.684,4372.0
2026-08-18 22:23:42.684,4372.0
2026-08-18 22:24:42.684,4372.0
2026-08-18 22:25:42.684,4372.0
2026-08-18 22:26:42.684,4372.0
2026-08-18 22:27:42.684,4372.0
2026-08-18 22:28:42.684,4372.0
2026-08-18 22:29:42.684,4372.0
2026-08-18 22:30:42.703,4372.0
2026-08-18 22:31:42.703,4372.0
2026-08-18 22:32:42.703,4372.0
2026-08-18 22:33:42.703,4372.0
2026-08-18 22:34:42.703,4372.0
2026-08-18 22:35:42.703,14712.0
2026-08-18 22:35:42.704,14712.0
2026-08-18 22:36:42.703,14712.0
2026-08-18 22:36:42.704,14712.0
2026-08-18 22:37:42.703,14712.0
2026-08-18 22:37:42.704,14712.0
2026-08-18 22:38:42.703,14712.0
2026-08-18 22:38:42.704,14712.0
2026-08-18 22:39:42.703,14712.0
2026-08-18 22:39:42.704,14712.0
2026-08-18 22:40:42.717,14712.0
2026-08-18 22:41:42.717,14712.0
2026-08-18 22:42:42.717,14712.0
2026-08-18 22:43:42.717,14712.0
2026-08-18 22:44:42.717,14712.0
2026-08-18 22:44:42.718,14712.0
2026-08-18 22:45:42.717,14712.0
2026-08-18 22:45:42.718,14712.0
2026-08-18 22:46:42.717,14712.0
2026-08-18 22:46:42.718,14712.0
2026-08-18 22:47:42.717,14712.0
2026-08-18 22:47:42.718,14712.0
2026-08-18 22:48:42.717,14712.0
2026-08-18 22:48:42.718,14712.0
2026-08-18 22:49:42.717,14712.0
2026-08-18 22:49:42.718,14712.0
2026-08-18 22:50:42.727,21681.0
2026-08-18 22:51:42.727,21681.0
2026-08-18 22:52:42.727,21681.0
2026-08-18 22:52:42.728,21681.0
2026-08-18 22:53:42.727,21681.0
2026-08-18 22:53:42.728,21681.0
2026-08-18 22:54:42.727,21681.0
2026-08-18 22:54:42.728,21681.0
2026-08-18 22:55:42.727,21681.0
2026-08-18 22:55:42.728,21681.0
2026-08-18 22:56:42.727,21681.0
2026-08-18 22:56:42.728,21681.0
2026-08-18 22:57:42.727,21681.0
2026-08-18 22:57:42.728,21681.0
2026-08-18 22:58:42.727,21681.0
2026-08-18 22:58:42.728,21681.0
2026-08-18 22:59:42.727,21681.0
2026-08-18 22:59:42.728,21681.0
2026-08-18 23:00:42.741,21681.0
2026-08-18 23:00:42.742,21681.0
2026-08-18 23:01:42.741,21681.0
2026-08-18 23:01:42.742,21681.0
2026-08-18 23:02:42.741,21681.0
2026-08-18 23:02:42.742,21681.0
2026-08-18 23:03:42.741,21681.0
2026-08-18 23:03:42.742,21681.0
2026-08-18 23:04:42.741,21681.0
2026-08-18 23:04:42.742,21681.0
2026-08-18 23:05:42.741,32866.0
2026-08-18 23:05:42.742,32866.0
2026-08-18 23:06:42.741,32866.0
2026-08-18 23:06:42.742,32866.0
2026-08-18 23:07:42.742,32866.0
2026-08-18 23:08:42.742,32866.0
2026-08-18 23:09:42.742,32866.0
2026-08-18 23:10:42.754,32866.0
2026-08-18 23:11:42.754,32866.0
2026-08-18 23:12:42.754,32866.0
2026-08-18 23:13:42.754,32866.0
2026-08-18 23:14:42.754,32866.0
2026-08-18 23:15:42.754,32866.0
2026-08-18 23:16:42.754,32866.0
2026-08-18 23:16:42.755,32866.0
2026-08-18 23:17:42.754,32866.0
2026-08-18 23:17:42.755,32866.0
2026-08-18 23:18:42.754,32866.0
2026-08-18 23:18:42.755,32866.0
2026-08-18 23:19:42.754,32866.0
2026-08-18 23:19:42.755,32866.0
2026-08-18 23:20:42.766,41809.0
2026-08-18 23:20:42.767,41809.0
2026-08-18 23:21:42.766,41809.0
2026-08-18 23:21:42.767,41809.0
2026-08-18 23:22:42.766,41809.0
2026-08-18 23:22:42.767,41809.0
2026-08-18 23:23:42.766,41809.0
2026-08-18 23:23:42.767,41809.0
2026-08-18 23:24:42.767,41809.0
2026-08-18 23:25:42.767,41809.0
2026-08-18 23:26:42.767,41809.0
2026-08-18 23:27:42.767,41809.0
2026-08-18 23:28:42.767,41809.0
2026-08-18 23:29:42.767,41809.0
2026-08-18 23:29:42.768,41809.0
2026-08-18 23:30:42.780,41809.0
2026-08-18 23:31:42.780,41809.0
2026-08-18 23:32:42.780,41809.0
2026-08-18 23:32:42.781,41809.0
2026-08-18 23:33:42.780,41809.0
2026-08-18 23:33:42.781,41809.0
2026-08-18 23:34:42.780,41809.0
2026-08-18 23:34:42.781,41809.0
2026-08-18 23:35:42.780,50127.0
2026-08-18 23:35:42.781,50127.0
2026-08-18 23:36:42.780,50127.0
2026-08-18 23:36:42.781,50127.0
2026-08-18 23:37:42.780,50127.0
2026-08-18 23:37:42.781,50127.0
2026-08-18 23:38:42.780,50127.0
2026-08-18 23:38:42.781,50127.0
2026-08-18 23:39:42.780,50127.0
2026-08-18 23:39:42.781,50127.0
2026-08-18 23:40:42.791,50127.0
