,PRINTER_L1_RETRACT_ACT_DISP
2026-07-22 01:18:56.637,8793.0
2026-07-22 01:19:56.648,8967.0
2026-07-22 01:20:56.654,9110.0
2026-07-22 01:21:56.660,9270.0
2026-07-22 01:22:56.666,9401.0
2026-07-22 01:23:56.679,9535.0
2026-07-22 01:24:56.691,9653.0
2026-07-22 01:25:56.695,9812.0
2026-07-22 01:26:56.705,9955.0
2026-07-22 01:27:56.708,10112.0
2026-07-22 01:28:56.718,10252.0
2026-07-22 01:29:56.726,10422.0
2026-07-22 01:30:56.741,10559.0
2026-07-22 01:31:56.755,10715.0
2026-07-22 01:32:56.765,10863.0
2026-07-22 01:33:56.770,11034.0
2026-07-22 01:34:56.777,11191.0
2026-07-22 01:35:56.780,11342.0
2026-07-22 01:36:56.793,11492.0
2026-07-22 01:37:56.804,11644.0
2026-07-22 01:38:56.807,11828.0
2026-07-22 01:39:56.815,12010.0
2026-07-22 01:40:56.829,12156.0
2026-07-22 01:41:56.836,12327.0
2026-07-22 01:42:56.845,12489.0
2026-07-22 01:43:56.848,12626.0
2026-07-22 01:44:56.851,12746.0
2026-07-22 01:45:56.861,12866.0
2026-07-22 01:46:56.873,13032.0
2026-07-22 01:47:56.888,13191.0
2026-07-22 01:48:56.903,13307.0
2026-07-22 01:49:56.907,13455.0
2026-07-22 01:50:56.919,13607.0
2026-07-22 01:51:56.921,13748.0
2026-07-22 01:52:56.923,13862.0
2026-07-22 01:53:56.928,13975.0
2026-07-22 01:54:56.943,14125.0
2026-07-22 01:55:56.947,14260.0
2026-07-22 01:56:56.948,14415.0
2026-07-22 01:57:56.960,14569.0
2026-07-22 01:58:56.977,14727.0
2026-07-22 01:59:56.978,14843.0
2026-07-22 02:00:56.981,14986.0
2026-07-22 02:01:56.984,15128.0
2026-07-22 02:02:56.994,15290.0
2026-07-22 02:03:56.995,15424.0
2026-07-22 02:04:57.009,15569.0
2026-07-22 02:05:57.024,15698.0
2026-07-22 02:06:57.037,15875.0
2026-07-22 02:07:57.040,16026.0
2026-07-22 02:08:57.051,16176.0
2026-07-22 02:09:57.065,16314.0
2026-07-22 02:10:57.073,16435.0
2026-07-22 02:11:57.084,16570.0
2026-07-22 02:12:57.086,16671.0
2026-07-22 02:13:57.087,16810.0
2026-07-22 02:14:57.093,16946.0
2026-07-22 02:15:57.099,17091.0
2026-07-22 02:16:57.109,17262.0
2026-07-22 02:17:57.120,17440.0
2026-07-22 02:18:57.133,17638.0
2026-07-22 02:19:57.146,17806.0
2026-07-22 02:21:50.089,149.0
2026-07-22 02:22:50.104,274.0
2026-07-22 02:23:50.117,411.0
2026-07-22 02:24:50.118,546.0
2026-07-22 02:25:50.123,713.0
2026-07-22 02:26:50.142,899.0
2026-07-22 02:27:50.152,1023.0
2026-07-22 02:28:50.191,1149.0
2026-07-22 02:29:50.198,1315.0
2026-07-22 02:30:50.211,1455.0
2026-07-22 02:31:50.222,1577.0
2026-07-22 02:32:50.223,1698.0
2026-07-22 02:33:50.231,1827.0
2026-07-22 02:34:50.234,1976.0
2026-07-22 02:35:50.249,2102.0
2026-07-22 02:36:50.254,2266.0
2026-07-22 02:37:50.258,2418.0
2026-07-22 02:38:50.263,2565.0
2026-07-22 02:39:50.275,2736.0
2026-07-22 02:40:50.276,2881.0
2026-07-22 02:41:50.289,3018.0
2026-07-22 02:42:50.292,3167.0
2026-07-22 02:43:50.297,3321.0
2026-07-22 02:44:50.305,3471.0
2026-07-22 02:45:50.311,3615.0
2026-07-22 02:46:50.326,3746.0
2026-07-22 02:47:50.334,3903.0
2026-07-22 02:48:50.341,4033.0
2026-07-22 02:49:50.356,4148.0
2026-07-22 02:50:50.367,4295.0
2026-07-22 02:51:50.377,4444.0
2026-07-22 02:52:50.392,4588.0
2026-07-22 02:53:50.399,4753.0
2026-07-22 02:54:50.414,4877.0
2026-07-22 02:55:50.425,5015.0
2026-07-22 02:56:50.440,5160.0
2026-07-22 02:57:50.455,5322.0
2026-07-22 02:58:50.469,5492.0
2026-07-22 02:59:50.475,5633.0
2026-07-22 03:00:50.487,5791.0
2026-07-22 03:01:50.502,5944.0
2026-07-22 03:02:50.514,6119.0
2026-07-22 03:03:50.515,6284.0
2026-07-22 03:04:50.523,6434.0
2026-08-18 21:56:42.651,176.0
2026-08-18 21:57:42.651,176.0
2026-08-18 21:57:42.652,176.0
2026-08-18 21:58:42.651,176.0
2026-08-18 21:58:42.652,176.0
2026-08-18 21:59:42.652,176.0
2026-08-18 22:00:42.664,176.0
2026-08-18 22:01:42.664,176.0
2026-08-18 22:01:42.665,176.0
2026-08-18 22:02:42.664,176.0
2026-08-18 22:02:42.665,176.0
2026-08-18 22:03:42.665,176.0
2026-08-18 22:04:42.665,176.0
2026-08-18 22:05:42.665,176.0
2026-08-18 22:06:42.665,1.0
2026-08-18 22:07:42.665,1.0
2026-08-18 22:08:42.665,1.0
2026-08-18 22:09:42.665,1.0
2026-08-18 22:10:42.679,1.0
2026-08-18 22:11:42.679,1.0
2026-08-18 22:12:42.679,1.0
2026-08-18 22:13:42.679,1.0
2026-08-18 22:14:42.679,1.0
2026-08-18 22:15:42.679,1.0
2026-08-18 22:16:42.679,1.0
2026-08-18 22:17:42.679,1.0
2026-08-18 22:18:42.679,1.0
2026-08-18 22:18:42.680,1.0
2026-08-18 22:19:42.680,1.0
2026-08-18 22:20:42.683,1.0
2026-08-18 22:21:42.683,13.0
2026-08-18 22:22:42.683,13.0
2026-08-18 22:22:42.684,13.0
2026-08-18 22:23:42.684,13.0
2026-08-18 22:24:42.684,13.0
2026-08-18 22:25:42.684,13.0
2026-08-18 22:26:42.684,13.0
2026-08-18 22:27:42.684,13.0
2026-08-18 22:28:42.684,13.0
2026-08-18 22:29:42.684,13.0
2026-08-18 22:30:42.703,13.0
2026-08-18 22:31:42.703,13.0
2026-08-18 22:32:42.703,13.0
2026-08-18 22:33:42.703,13.0
2026-08-18 22:34:42.703,13.0
2026-08-18 22:35:42.703,26.0
2026-08-18 22:35:42.704,26.0
2026-08-18 22:36:42.703,26.0
2026-08-18 22:36:42.704,26.0
2026-08-18 22:37:42.703,26.0
2026-08-18 22:37:42.704,26.0
2026-08-18 22:38:42.703,26.0
2026-08-18 22:38:42.704,26.0
2026-08-18 22:39:42.703,26.0
2026-08-18 22:39:42.704,26.0
2026-08-18 22:40:42.717,26.0
2026-08-18 22:41:42.717,26.0
2026-08-18 22:42:42.717,26.0
2026-08-18 22:43:42.717,26.0
2026-08-18 22:44:42.717,26.0
2026-08-18 22:44:42.718,26.0
2026-08-18 22:45:42.717,26.0
2026-08-18 22:45:42.718,26.0
2026-08-18 22:46:42.717,26.0
2026-08-18 22:46:42.718,26.0
2026-08-18 22:47:42.717,26.0
2026-08-18 22:47:42.718,26.0
2026-08-18 22:48:42.717,26.0
2026-08-18 22:48:42.718,26.0
2026-08-18 22:49:42.717,26.0
2026-08-18 22:49:42.718,26.0
2026-08-18 22:50:42.727,31.0
2026-08-18 22:51:42.727,31.0
2026-08-18 22:52:42.727,31.0
2026-08-18 22:52:42.728,31.0
2026-08-18 22:53:42.727,31.0
2026-08-18 22:53:42.728,31.0
2026-08-18 22:54:42.727,31.0
2026-08-18 22:54:42.728,31.0
2026-08-18 22:55:42.727,31.0
2026-08-18 22:55:42.728,31.0
2026-08-18 22:56:42.727,31.0
2026-08-18 22:56:42.728,31.0
2026-08-18 22:57:42.727,31.0
2026-08-18 22:57:42.728,31.0
2026-08-18 22:58:42.727,31.0
2026-08-18 22:58:42.728,31.0
2026-08-18 22:59:42.727,31.0
2026-08-18 22:59:42.728,31.0
2026-08-18 23:00:42.741,31.0
2026-08-18 23:00:42.742,31.0
2026-08-18 23:01:42.741,31.0
2026-08-18 23:01:42.742,31.0
2026-08-18 23:02:42.741,31.0
2026-08-18 23:02:42.742,31.0
2026-08-18 23:03:42.741,31.0
2026-08-18 23:03:42.742,31.0
2026-08-18 23:04:42.741,31.0
2026-08-18 23:04:42.742,31.0
2026-08-18 23:05:42.741,39.0
2026-08-18 23:05:42.742,39.0
2026-08-18 23:06:42.741,39.0
2026-08-18 23:06:42.742,39.0
2026-08-18 23:07:42.742,39.0
2026-08-18 23:08:42.742,39.0
2026-08-18 23:09:42.742,39.0
2026-08-18 23:10:42.754,39.0
2026-08-18 23:11:42.754,39.0
2026-08-18 23:12:42.754,39.0
2026-08-18 23:13:42.754,39.0
2026-08-18 23:14:42.754,39.0
2026-08-18 23:15:42.754,39.0
2026-08-18 23:16:42.754,39.0
2026-08-18 23:16:42.755,39.0
2026-08-18 23:17:42.754,39.0
2026-08-18 23:17:42.755,39.0
2026-08-18 23:18:42.754,39.0
2026-08-18 23:18:42.755,39.0
2026-08-18 23:19:42.754,39.0
2026-08-18 23:19:42.755,39.0
2026-08-18 23:20:42.766,46.0
2026-08-18 23:20:42.767,46.0
2026-08-18 23:21:42.766,46.0
2026-08-18 23:21:42.767,46.0
2026-08-18 23:22:42.766,46.0
2026-08-18 23:22:42.767,46.0
2026-08-18 23:23:42.766,46.0
2026-08-18 23:23:42.767,46.0
2026-08-18 23:24:42.767,46.0
2026-08-18 23:25:42.767,46.0
2026-08-18 23:26:42.767,46.0
2026-08-18 23:27:42.767,46.0
2026-08-18 23:28:42.767,46.0
2026-08-18 23:29:42.767,46.0
2026-08-18 23:29:42.768,46.0
2026-08-18 23:30:42.780,46.0
2026-08-18 23:31:42.780,46.0
2026-08-18 23:32:42.780,46.0
2026-08-18 23:32:42.781,46.0
2026-08-18 23:33:42.780,46.0
2026-08-18 23:33:42.781,46.0
2026-08-18 23:34:42.780,46.0
2026-08-18 23:34:42.781,46.0
2026-08-18 23:35:42.780,49.0
2026-08-18 23:35:42.781,49.0
2026-08-18 23:36:42.780,49.0
2026-08-18 23:36:42.781,49.0
2026-08-18 23:37:42.780,49.0
2026-08-18 23:37:42.781,49.0
2026-08-18 23:38:42.780,49.0
2026-08-18 23:38:42.781,49.0
2026-08-18 23:39:42.780,49.0
2026-08-18 23:39:42.781,49.0
2026-08-18 23:40:42.791,49.0
2026-08-18 23:40:42.792,49.0
2026-08-18 23:41:42.791,49.0
2026-08-18 23:41:42.792,49.0
