,PRINTER_L31_PROD_ACT_DISP
2026-08-26 19:25:24.713,58190.0
2026-08-26 19:26:24.713,58190.0
2026-08-26 19:27:24.714,58190.0
2026-08-26 19:28:24.714,58190.0
2026-08-26 19:29:24.714,58190.0
2026-08-26 19:30:24.725,58190.0
2026-08-26 19:31:24.725,58190.0
2026-08-26 19:32:24.725,58190.0
2026-08-26 19:33:24.725,58190.0
2026-08-26 19:34:24.726,58190.0
2026-08-26 19:35:24.726,58190.0
2026-08-26 19:36:24.726,58190.0
2026-08-26 19:37:24.726,58190.0
2026-08-26 19:38:24.726,59356.0
2026-08-26 19:39:24.726,59356.0
2026-08-26 19:40:24.739,59356.0
2026-08-26 19:41:24.739,59356.0
2026-08-26 19:42:24.739,59356.0
2026-08-26 19:43:24.739,59356.0
2026-08-26 19:44:24.739,59356.0
2026-08-26 19:45:24.739,59356.0
2026-08-26 19:46:24.739,59356.0
2026-08-26 19:47:24.739,59356.0
2026-08-26 19:48:24.739,59356.0
2026-08-26 19:49:24.739,59356.0
2026-08-26 19:50:24.752,59356.0
2026-08-26 19:51:24.753,59356.0
2026-08-26 19:52:24.753,59356.0
2026-08-26 19:53:24.753,60090.0
2026-08-26 19:54:24.753,60090.0
2026-08-26 19:55:24.753,60090.0
2026-08-26 19:56:24.753,60090.0
2026-08-26 19:57:24.753,60090.0
2026-08-26 19:58:24.753,60090.0
2026-08-26 19:59:24.753,60090.0
2026-08-26 20:00:24.765,60090.0
2026-08-26 20:01:24.765,60090.0
2026-08-26 20:02:24.765,60090.0
2026-08-26 20:03:24.765,60090.0
2026-08-26 20:04:24.765,60090.0
2026-08-26 20:05:24.765,60090.0
2026-08-26 20:06:24.765,60090.0
2026-08-26 20:07:24.765,60090.0
2026-08-26 20:08:24.765,61025.0
2026-08-26 20:09:24.765,61025.0
2026-08-26 20:10:24.778,61025.0
2026-08-26 20:11:24.778,61025.0
2026-08-26 20:12:24.778,61025.0
2026-08-26 20:13:24.778,61025.0
2026-08-26 20:14:24.778,61025.0
2026-08-26 20:15:24.779,61025.0
2026-08-26 20:16:24.779,61025.0
2026-08-26 20:17:24.779,61025.0
2026-08-26 20:18:24.779,61025.0
2026-08-26 20:19:24.779,61025.0
2026-08-26 20:20:24.790,61025.0
2026-08-26 20:21:24.790,61025.0
2026-08-26 20:22:24.790,61025.0
2026-08-26 20:23:24.790,62976.0
2026-08-26 20:24:24.790,62976.0
2026-08-26 20:25:24.790,62976.0
2026-08-26 20:26:24.790,62976.0
2026-08-26 20:27:24.790,62976.0
2026-08-26 20:28:24.790,62976.0
2026-08-26 20:29:24.790,62976.0
2026-08-26 20:30:24.802,62976.0
2026-08-26 20:31:24.803,62976.0
2026-08-26 20:32:24.803,62976.0
2026-08-26 20:33:24.803,62976.0
2026-08-26 20:34:24.803,62976.0
2026-08-26 20:35:24.803,62976.0
2026-08-26 20:36:24.803,62976.0
2026-08-26 20:37:24.803,62976.0
2026-08-26 20:38:24.803,62976.0
2026-08-26 20:39:24.803,62976.0
2026-08-26 20:40:24.815,62976.0
2026-08-26 20:41:24.815,62976.0
2026-08-26 20:42:24.815,62976.0
2026-08-26 20:43:24.815,62976.0
2026-08-26 20:44:24.815,62976.0
2026-08-26 20:45:24.816,62976.0
2026-08-26 20:46:24.816,62976.0
2026-08-26 20:47:24.816,62976.0
2026-08-26 20:48:24.816,62976.0
2026-08-26 20:49:24.816,62976.0
2026-08-26 20:50:24.828,62976.0
2026-08-26 20:51:24.828,62976.0
2026-08-26 20:52:24.828,62976.0
2026-08-26 20:53:24.829,65709.0
2026-08-26 20:54:24.829,65709.0
2026-08-26 20:55:24.829,65709.0
2026-08-26 20:56:24.829,65709.0
2026-08-26 20:57:24.829,65709.0
2026-08-26 20:58:24.829,65709.0
2026-08-26 20:59:24.829,65709.0
